FlightId,Latitude,Longitude,Velocity,Type,Status
4B9030,40.30926,31.84606,412,FIXED WING,UNKNOWN
45D066,38.35606,30.81349,440,FIXED WING,UNKNOWN
4BAA6E,40.20424,32.20471,480,FIXED WING,UNKNOWN
151DB8,39.18301,32.22230,486,FIXED WING,UNKNOWN
4B9030,40.28375,31.93591,407,FIXED WING,UNKNOWN
4B9030,40.28343,31.93701,407,FIXED WING,UNKNOWN
4B9030,40.27127,31.97977,408,FIXED WING,UNKNOWN
151DB8,39.10588,32.17273,487,FIXED WING,UNKNOWN
155C31,39.42286,32.48627,415,FIXED WING,UNKNOWN
151DB8,39.08830,32.16140,486,FIXED WING,UNKNOWN
151DB8,39.06734,32.14789,486,FIXED WING,UNKNOWN
4B9030,40.25711,32.02905,393,FIXED WING,UNKNOWN
151DB8,39.02283,32.11908,485,FIXED WING,UNKNOWN
151DB8,39.00142,32.10522,485,FIXED WING,UNKNOWN
151DB8,38.98613,32.09536,485,FIXED WING,UNKNOWN
4B9030,40.25013,32.05330,386,FIXED WING,UNKNOWN
151DB8,38.96362,32.08081,484,FIXED WING,UNKNOWN
151DB8,38.94232,32.06706,484,FIXED WING,UNKNOWN
4B9030,40.24534,32.06972,382,FIXED WING,UNKNOWN
151DB8,38.92665,32.05695,484,FIXED WING,UNKNOWN
151DB8,38.90497,32.04294,484,FIXED WING,UNKNOWN
151DB8,38.88392,32.02936,484,FIXED WING,UNKNOWN
4B9030,40.23864,32.09306,379,FIXED WING,UNKNOWN
4B9030,40.22029,32.15711,388,FIXED WING,UNKNOWN
151DB8,38.86226,32.01541,484,FIXED WING,UNKNOWN
4B9030,40.21339,32.18121,387,FIXED WING,UNKNOWN
151DB8,38.85027,32.00765,483,FIXED WING,UNKNOWN
4B9030,40.20652,32.20505,382,FIXED WING,UNKNOWN
151DB8,38.82848,31.99368,483,FIXED WING,UNKNOWN
4B9030,40.20275,32.21815,378,FIXED WING,UNKNOWN
151DB8,38.79030,31.96908,484,FIXED WING,UNKNOWN
4B9030,40.18482,32.27995,352,FIXED WING,UNKNOWN
151DB8,38.76838,31.95508,484,FIXED WING,UNKNOWN
4B9030,40.17879,32.30096,348,FIXED WING,UNKNOWN
151DB8,38.72476,31.92719,483,FIXED WING,UNKNOWN
151DB8,38.68715,31.90320,478,FIXED WING,UNKNOWN
4B9030,40.16657,32.34282,343,FIXED WING,UNKNOWN
151DB8,38.66560,31.88943,474,FIXED WING,UNKNOWN
4B9030,40.15606,32.37877,322,FIXED WING,UNKNOWN
4B9030,40.15056,32.39799,311,FIXED WING,UNKNOWN
151DB8,38.64534,31.87646,474,FIXED WING,UNKNOWN
4B9030,40.14497,32.41722,298,FIXED WING,UNKNOWN
151DB8,38.64320,31.87512,471,FIXED WING,UNKNOWN
4B9030,40.14120,32.43018,290,FIXED WING,UNKNOWN
151DB8,38.58622,31.83862,471,FIXED WING,UNKNOWN
4B9030,40.14097,32.43114,290,FIXED WING,UNKNOWN
151DB8,38.56503,31.82518,466,FIXED WING,UNKNOWN
